STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
15950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE15950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8550,8550,500,1925.35,500,2123.25,17929.65
15950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE15950.00,0,0,0.0,0,0.0,0.0,0.0,0.0,17000,300,1500,0.75,300,1.7,17929.65
16000,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16000.00,89,0,0.0,19,0.0,1839.9,111.25,6.435657883319353,12150,7700,50,1961.9,450,1999.7,17929.65
16000,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16000.00,28236,-2202,-7.234378080031539,43751,58.25,0.9,-0.7999999999999999,-47.05882352941176,331700,63150,2500,0.9,1000,0.95,17929.65
16050,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16050.00,12,0,0.0,0,0.0,1804.2,0.0,0.0,9150,5550,500,1893.35,500,2003.5,17929.65
16050,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16050.00,249,-96,-27.82608695652174,494,54.52,0.6,-1.0,-62.5,19900,6500,100,0.55,50,1.05,17929.65
16100,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16100.00,0,0,0.0,0,0.0,1573.35,0.0,0.0,8600,5000,50,1797.6,450,1967.85,17929.65
16100,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16100.00,4456,100,2.295684113865932,6123,61.13,2.15,0.2999999999999998,16.216216216216207,115100,16350,50,0.75,1600,1.9,17929.65
16150,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16150.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6800,6800,500,1743.65,500,1912.7,17929.65
16150,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16150.00,66,28,73.6842105263158,1950,54.85,1.05,-0.8499999999999999,-44.73684210526315,23300,3900,900,1.05,650,1.15,17929.65
16200,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16200.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8650,5100,500,1707.15,450,1863.8,17929.65
16200,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16200.00,7864,-677,-7.926472310033954,12758,51.88,0.8,-1.2,-60.0,152400,22700,1550,0.8,50,1.3,17929.65
16250,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16250.00,0,0,0.0,0,0.0,0.0,0.0,0.0,6800,3050,500,1694.3,250,1809.75,17929.65
16250,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16250.00,85,62,269.5652173913044,3085,49.77,0.7,-1.4,-66.66666666666667,26200,4500,1500,0.55,600,0.9,17929.65
16300,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16300.00,6,0,0.0,6,0.0,1446.1,35.44999999999982,2.513025910041457,8150,4600,50,1663.9,50,1750.75,17929.65
16300,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16300.00,5922,-241,-3.910433230569528,15945,49.96,0.95,-1.0,-51.28205128205129,179250,47400,1200,0.95,1000,1.0,17929.65
16350,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16350.00,1,0,0.0,1,0.0,1580.55,-274.54999999999995,-14.799741253840764,8550,8550,500,1531.2,500,1713.2,17929.65
16350,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16350.00,82,46,127.77777777777776,3159,46.24,0.6,-1.4499999999999995,-70.73170731707317,49100,4900,5400,0.6,300,0.8,17929.65
16400,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16400.00,21,0,0.0,0,0.0,1298.1,0.0,0.0,9200,9200,500,1543.8,1100,1646.75,17929.65
16400,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16400.00,5173,-2482,-32.42325277596342,27185,47.86,1.1,-0.9499999999999996,-46.34146341463413,224850,23050,1800,0.9,2250,1.1,17929.65
16450,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16450.00,0,0,0.0,0,0.0,0.0,0.0,0.0,8650,8200,500,1491.85,50,1554.9,17929.65
16450,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16450.00,182,3,1.675977653631285,514,46.41,1.1,-1.1,-50.0,60650,10450,50,0.6,450,1.8,17929.65
16500,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16500.00,44,-1,-2.2222222222222223,1,0.0,1339.85,119.44999999999982,9.787774500163865,10050,5850,700,1450.1,200,1547.0,17929.65
16500,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16500.00,37108,4035,12.200284219756297,123580,44.96,1.1,-1.25,-53.191489361702125,1635300,139200,39700,1.05,3950,1.1,17929.65
16550,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16550.00,2,0,0.0,0,0.0,1302.85,0.0,0.0,8600,6850,50,1346.45,50,1512.6,17929.65
16550,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16550.00,783,-24,-2.973977695167286,1212,42.27,0.85,-1.7999999999999998,-67.9245283018868,94100,12000,2250,0.85,50,1.65,17929.65
16600,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16600.00,12,2,20.0,5,70.02,1365.1,251.5999999999999,22.59541984732824,9350,6900,500,1342.85,100,1404.7,17929.65
16600,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16600.00,12829,-3654,-22.16829460656433,67936,42.05,1.1,-1.9,-63.33333333333333,432450,10950,5700,1.1,100,1.25,17929.65
16650,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16650.00,5,1,25.0,5,80.62,1340.9,213.6500000000001,18.953204701707705,8600,6850,500,1239.75,500,1411.75,17929.65
16650,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16650.00,1343,-81,-5.688202247191011,1645,40.38,1.05,-2.4000000000000004,-69.56521739130436,33150,11000,350,1.0,50,1.65,17929.65
16700,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16700.00,119,-5,-4.032258064516129,7,78.12,1290.65,290.6500000000001,29.06500000000001,9000,7100,200,1288.55,200,1303.75,17929.65
16700,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16700.00,14766,-292,-1.939168548279984,78789,40.46,1.45,-2.0,-57.971014492753625,426600,23450,2350,1.35,1050,1.4,17929.65
16750,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16750.00,11,-4,-26.666666666666668,4,0.0,1020.05,64.34999999999991,6.733284503505274,8900,7100,400,1193.95,400,1292.75,17929.65
16750,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16750.00,1873,-106,-5.356240525517938,4374,40.04,1.8,-2.25,-55.55555555555556,20350,6000,450,1.4,50,1.85,17929.65
16800,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16800.00,47,0,0.0,8,58.59,1160.25,249.95000000000005,27.4579808854224,11150,7950,400,1144.5,500,1242.25,17929.65
16800,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16800.00,35657,21074,144.51073167386684,166955,38.78,1.9,-2.6,-57.777777777777786,327750,22750,150,1.6,1450,1.9,17929.65
16850,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16850.00,2,0,0.0,0,0.0,924.7,0.0,0.0,9500,7600,200,1116.0,500,1192.25,17929.65
16850,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16850.00,2914,358,14.006259780907667,11935,37.37,1.95,-3.2,-62.13592233009708,52250,5800,700,1.5,750,2.0,17929.65
16900,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16900.00,39,0,0.0,3,0.0,990.1,146.80000000000007,17.407802679947835,11000,10150,500,1049.05,2050,1140.85,17929.65
16900,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16900.00,20650,3883,23.1585853163953,121798,35.45,1.8,-4.25,-70.24793388429752,298150,38100,750,1.7,1100,1.8,17929.65
16950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE16950.00,4,2,100.0,5,65.79,1040.05,244.65,30.758109127483024,15000,9050,500,995.5,1000,1092.5,17929.65
16950,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE16950.00,3083,506,19.63523476911137,13954,34.4,2.0,-5.0,-71.42857142857143,33350,14300,1800,1.7,800,2.0,17929.65
17000,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17000.00,916,357,63.86404293381037,1006,65.84,996.9,285.5,40.13213382063537,122950,16100,550,995.3,350,998.15,17929.65
17000,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17000.00,58368,13599,30.37592977283388,324206,32.84,2.0,-6.050000000000001,-75.15527950310559,1040400,149250,200,2.0,1500,2.2,17929.65
17050,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17050.00,21,6,40.0,18,0.0,819.65,159.29999999999995,24.123570833648813,36250,15800,500,906.2,200,953.3,17929.65
17050,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17050.00,4480,736,19.65811965811966,26020,31.7,2.2,-6.9,-75.82417582417582,126650,13600,50,2.05,750,2.2,17929.65
17100,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17100.00,55,2,3.7735849056603774,85,52.08,873.65,228.0,35.31325021296368,30600,17750,50,870.9,1400,907.85,17929.65
17100,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17100.00,22509,7710,52.09811473748226,173015,30.12,2.2,-8.5,-79.4392523364486,230050,51750,1500,2.15,50,2.7,17929.65
17150,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17150.00,8,1,14.285714285714286,8,59.7,851.35,284.05000000000007,50.07050943063637,29100,13100,1950,815.05,700,857.1,17929.65
17150,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021PE17150.00,5517,-476,-7.942599699649591,60769,28.81,2.35,-10.75,-82.06106870229007,27550,17300,2800,2.05,950,2.5,17929.65
17200,03-Nov-2021,NIFTY,OPTIDXNIFTY03-11-2021CE17200.00,108,15,16.129032258064516,239,55.91,797.65,268.29999999999995,50.684802115802384,49600,16300,3400,788.05,150,800.3,17929.65
